Area,Baths,Bedrooms,Location,Price,Purpose,Type
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.7 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,35.75 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,20 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,11.5 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,16.5 Crore",For Sale,House
500 Sq. Yd.,5,5,"Bahria Town Karachi, Karachi, Sindh","PKR,3.75 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,12.75 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,16.5 Crore",For Sale,House
427 Sq. Yd.,5,5,"Cantt, Karachi, Sindh","PKR,10 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,36 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.6 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,36 Crore",For Sale,House
240 Sq. Yd.,4,3,"Scheme 33, Karachi, Sindh","PKR,2.65 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,2 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,12.75 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,17 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,21 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,17 Crore",For Sale,House
800 Sq. Yd.,6,7,"DHA Defence, Karachi, Sindh","PKR,29 Crore",For Sale,House
"1,000 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,28 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,11.75 Crore",For Sale,House
"1,040 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,26 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,10.5 Crore",For Sale,House
"1,000 Sq. Yd.",5,4,"DHA Defence, Karachi, Sindh","PKR,22 Crore",For Sale,House
"1,000 Sq. Yd.",6,10,"DHA Defence, Karachi, Sindh","PKR,23 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,16.5 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,17 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,22 Crore",For Sale,House
800 Sq. Yd.,6,7,"DHA Defence, Karachi, Sindh","PKR,29 Crore",For Sale,House
240 Sq. Yd.,10,6,"Scheme 33, Karachi, Sindh","PKR,3.45 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,4.1 Crore",For Sale,House
350 Sq. Yd.,5,4,"Malir, Karachi, Sindh","PKR,7.95 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.7 Crore",For Sale,House
"1,000 Sq. Yd.",6,5,"DHA Defence, Karachi, Sindh","PKR,22 Crore",For Sale,House
300 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,6.9 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,3.5 Crore",For Sale,House
500 Sq. Yd.,5,5,"Bahria Town Karachi, Karachi, Sindh","PKR,3.75 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,8.95 Crore",For Sale,House
120 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,5 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,21 Crore",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,19 Crore",For Sale,House
120 Sq. Yd.,6,6,"North Karachi, Karachi, Sindh","PKR,2.25 Crore",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,14.5 Crore",For Sale,House
500 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,13.5 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,17 Crore",For Sale,House
355 Sq. Yd.,6,6,"Navy Housing Scheme Karsaz, Karachi, Sindh","PKR,10.5 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,16 Crore",For Sale,House
350 Sq. Yd.,5,4,"Malir, Karachi, Sindh","PKR,8.7 Crore",For Sale,House
200 Sq. Yd.,5,6,"Gadap Town, Karachi, Sindh","PKR,3.75 Crore",For Sale,House
500 Sq. Yd.,5,5,"Malir, Karachi, Sindh","PKR,9.5 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,17 Crore",For Sale,House
100 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,4.5 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,8.9 Crore",For Sale,House
666 Sq. Yd.,8,7,"DHA Defence, Karachi, Sindh","PKR,22 Crore",For Sale,House
80 Sq. Yd.,3,2,"Gadap Town, Karachi, Sindh","PKR,75 Lakh",For Sale,House
100 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,4.5 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.7 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.68 Crore",For Sale,House
"1,000 Sq. Yd.",4,4,"DHA Defence, Karachi, Sindh","PKR,34 Crore",For Sale,House
120 Sq. Yd.,6,4,"Scheme 33, Karachi, Sindh","PKR,2.15 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,15 Crore",For Sale,House
300 Sq. Yd.,4,4,"DHA Defence, Karachi, Sindh","PKR,7 Crore",For Sale,House
120 Sq. Yd.,6,4,"Scheme 33, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
240 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,3.95 Crore",For Sale,House
"2,000 Sq. Yd.",-,8,"DHA Defence, Karachi, Sindh","PKR,40 Crore",For Sale,House
120 Sq. Yd.,6,4,"Scheme 33, Karachi, Sindh","PKR,2.15 Crore",For Sale,House
150 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,6.7 Crore",For Sale,House
600 Sq. Yd.,6,7,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,7.75 Crore",For Sale,House
800 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,29 Crore",For Sale,House
500 Sq. Yd.,6,5,"Malir, Karachi, Sindh","PKR,14.1 Crore",For Sale,House
"1,815 Sq. Yd.",-,-,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,35 Crore",For Sale,House
152 Sq. Yd.,4,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.4 Crore",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,12.95 Crore",For Sale,House
400 Sq. Yd.,6,7,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,13 Crore",For Sale,House
75 Sq. Yd.,4,4,"Gulistan-e-Jauhar, Karachi, Sindh","PKR,2.25 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,18 Crore",For Sale,House
79 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,71.23 Lakh",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,12.75 Crore",For Sale,House
79 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,71.23 Lakh",For Sale,House
240 Sq. Yd.,6,6,"Gulshan-e-Usman Housing Society, Karachi, Sindh","PKR,3.5 Crore",For Sale,House
120 Sq. Yd.,6,6,"Scheme 33, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
120 Sq. Yd.,5,4,"Scheme 33, Karachi, Sindh","PKR,1.85 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.4 Crore",For Sale,House
500 Sq. Yd.,6,6,"DHA Defence, Karachi, Sindh","PKR,9.15 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,12 Crore",For Sale,House
79 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,71.23 Lakh",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.65 Crore",For Sale,House
"1,040 Sq. Yd.",6,6,"DHA Defence, Karachi, Sindh","PKR,26 Crore",For Sale,House
152 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.75 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.55 Crore",For Sale,House
272 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,3.2 Crore",For Sale,House
500 Sq. Yd.,6,5,"DHA Defence, Karachi, Sindh","PKR,9.25 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.55 Crore",For Sale,House
,5,5,"Gadap Town, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.55 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.5 Crore",For Sale,House
350 Sq. Yd.,4,4,"Malir, Karachi, Sindh","PKR,8.5 Crore",For Sale,House
120 Sq. Yd.,2,2,"Naya Nazimabad, Karachi, Sindh","PKR,2.15 Crore",For Sale,House
"1,000 Sq. Yd.",6,5,"DHA Defence, Karachi, Sindh","PKR,24 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,1.95 Crore",For Sale,House
500 Sq. Yd.,5,5,"Malir, Karachi, Sindh","PKR,10 Crore",For Sale,House
350 Sq. Yd.,5,4,"Malir, Karachi, Sindh","PKR,8 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.55 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
375 Sq. Yd.,5,5,"Cantt, Karachi, Sindh","PKR,7.78 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.55 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
250 Sq. Yd.,5,4,"DHA Defence, Karachi, Sindh","PKR,6.5 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
350 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,2.1 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.55 Crore",For Sale,House
235 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.45 Crore",For Sale,House
400 Sq. Yd.,-,8,"Gulshan-e-Iqbal Town, Karachi, Sindh","PKR,11.5 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,1.75 Crore",For Sale,House
200 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,2.3 Crore",For Sale,House
79 Sq. Yd.,3,3,"Bahria Town Karachi, Karachi, Sindh","PKR,71.23 Lakh",For Sale,House
500 Sq. Yd.,5,5,"Cantt, Karachi, Sindh","PKR,9.85 Crore",For Sale,House
500 Sq. Yd.,5,4,"North Nazimabad, Karachi, Sindh","PKR,10 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.55 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.55 Crore",For Sale,House
,5,5,"Malir, Karachi, Sindh","PKR,2.5 Crore",For Sale,House
125 Sq. Yd.,4,4,"Bahria Town Karachi, Karachi, Sindh","PKR,1.3 Crore",For Sale,House
500 Sq. Yd.,5,5,"DHA Defence, Karachi, Sindh","PKR,12 Crore",For Sale,House
500 Sq. Yd.,5,5,"Cantt, Karachi, Sindh","PKR,9.9 Crore",For Sale,House
350 Sq. Yd.,5,4,"Malir, Karachi, Sindh","PKR,9.05 Crore",For Sale,House
